PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38291167","Heartbeat-evoked neural response abnormalities in generalized anxiety disorder during peripheral adrenergic stimulation","Verdonk C, Teed AR, White EJ, Ren X, Stewart JL, Paulus MP, Khalsa SS.","Neuropsychopharmacology. 2024 Jul;49(8):1246-1254. doi: 10.1038/s41386-024-01806-5. Epub 2024 Jan 30.","Verdonk C","Neuropsychopharmacology","2024","2024/01/30","PMC11224228","","10.1038/s41386-024-01806-5"
"38009624","Cardiac interoception in Anorexia Nervosa: A resting-state heartbeat-evoked potential study","Cambi S, Solcà M, Micali N, Berchio C.","Eur Eat Disord Rev. 2024 May;32(3):417-430. doi: 10.1002/erv.3049. Epub 2023 Nov 27.","Cambi S","Eur Eat Disord Rev","2024","2023/11/27","","","10.1002/erv.3049"
"37920446","Time-varying information measures: an adaptive estimation of information storage with application to brain-heart interactions","Antonacci Y, Barà C, Zaccaro A, Ferri F, Pernice R, Faes L.","Front Netw Physiol. 2023 Oct 18;3:1242505. doi: 10.3389/fnetp.2023.1242505. eCollection 2023.","Antonacci Y","Front Netw Physiol","2023","2023/11/03","PMC10619917","","10.3389/fnetp.2023.1242505"
"37888955","Conscious processing of global and local auditory irregularities causes differentiated heartbeat-evoked responses","Candia-Rivera D, Raimondo F, Pérez P, Naccache L, Tallon-Baudry C, Sitt JD.","Elife. 2023 Oct 27;12:e75352. doi: 10.7554/eLife.75352.","Candia-Rivera D","Elife","2023","2023/10/27","PMC10651171","","10.7554/eLife.75352"
"37775030","Elevated EEG heartbeat-evoked potentials in adolescents with more ADHD symptoms","Rapp L, Mai-Lippold SA, Georgiou E, Pollatos O.","Biol Psychol. 2023 Nov;184:108698. doi: 10.1016/j.biopsycho.2023.108698. Epub 2023 Sep 28.","Rapp L","Biol Psychol","2023","2023/09/29","","","10.1016/j.biopsycho.2023.108698"
"37652352","Reduced concentration performance and heartbeat-evoked potential in individuals with a history of a SARS-CoV-2 infection","Kamp SM, Buntić N, Amtmann J, Scharpf A, Schönen A, Wagner L, Schulz A.","Neurosci Lett. 2023 Sep 25;814:137466. doi: 10.1016/j.neulet.2023.137466. Epub 2023 Aug 29.","Kamp SM","Neurosci Lett","2023","2023/08/31","","","10.1016/j.neulet.2023.137466"
"37490801","Modulation of heartbeat-evoked potential and cardiac cycle effect by auditory stimuli","Tanaka Y, Ito Y, Terasawa Y, Umeda S.","Biol Psychol. 2023 Sep;182:108637. doi: 10.1016/j.biopsycho.2023.108637. Epub 2023 Jul 23.","Tanaka Y","Biol Psychol","2023","2023/07/25","","","10.1016/j.biopsycho.2023.108637"
"37455508","Reduced Heartbeat-Evoked Responses in a Near-Death Case Report","Candia-Rivera D, Machado C.","J Clin Neurol. 2023 Nov;19(6):581-588. doi: 10.3988/jcn.2022.0415. Epub 2023 Jun 1.","Candia-Rivera D","J Clin Neurol","2023","2023/07/17","PMC10622722","","10.3988/jcn.2022.0415"
"37421217","Cardiac interoception in infants: Behavioral and neurophysiological measures in various emotional and self-related contexts","Weijs ML, Daum MM, Lenggenhager B.","Psychophysiology. 2023 Dec;60(12):e14386. doi: 10.1111/psyp.14386. Epub 2023 Jul 8.","Weijs ML","Psychophysiology","2023","2023/07/08","","","10.1111/psyp.14386"
"37405324","Increased neurocardiological interplay after mindfulness meditation: a brain oscillation-based approach","Gao J, Sun R, Leung HK, Roberts A, Wu BWY, Tsang EW, Tang ACW, Sik HH.","Front Hum Neurosci. 2023 Jun 19;17:1008490. doi: 10.3389/fnhum.2023.1008490. eCollection 2023.","Gao J","Front Hum Neurosci","2023","2023/07/05","PMC10315629","","10.3389/fnhum.2023.1008490"
"37382151","Multidimensional assessment of heartbeat-evoked responses in disorders of consciousness","Candia-Rivera D, Machado C.","Eur J Neurosci. 2023 Aug;58(4):3098-3110. doi: 10.1111/ejn.16079. Epub 2023 Jun 29.","Candia-Rivera D","Eur J Neurosci","2023","2023/06/29","","","10.1111/ejn.16079"
"37245560","Allostatic-interoceptive anticipation of social rejection","Migeot J, Hesse E, Fittipaldi S, Mejía J, Fraile M, García AM, García MDC, Ortega R, Lawlor B, Lopez V, Ibáñez A.","Neuroimage. 2023 Aug 1;276:120200. doi: 10.1016/j.neuroimage.2023.120200. Epub 2023 May 26.","Migeot J","Neuroimage","2023","2023/05/28","PMC11163516","NIHMS1999560","10.1016/j.neuroimage.2023.120200"
"37239303","Brain State Relays Self-Processing and Heartbeat-Evoked Cortical Responses","Huang Y, Xie M, Liu Y, Zhang X, Jiang L, Bao H, Qin P, Han J.","Brain Sci. 2023 May 21;13(5):832. doi: 10.3390/brainsci13050832.","Huang Y","Brain Sci","2023","2023/05/27","PMC10216285","","10.3390/brainsci13050832"
"37230745","Changes in the heartbeat-evoked potential are associated with functional seizures","Elkommos S, Martin-Lopez D, Koreki A, Jolliffe C, Kandasamy R, Mula M, Critchley HD, Edwards MJ, Garfinkel S, Richardson MP, Yogarajah M.","J Neurol Neurosurg Psychiatry. 2023 Sep;94(9):769-775. doi: 10.1136/jnnp-2022-330167. Epub 2023 May 25.","Elkommos S","J Neurol Neurosurg Psychiatry","2023","2023/05/25","","","10.1136/jnnp-2022-330167"
"37078023","Enhanced external counterpulsation modulates the heartbeat evoked potential","Liu H, Liang H, Yu X, Wang G, Han Y, Yan M, Li S, Wang W.","Front Physiol. 2023 Apr 3;14:1144073. doi: 10.3389/fphys.2023.1144073. eCollection 2023.","Liu H","Front Physiol","2023","2023/04/20","PMC10106756","","10.3389/fphys.2023.1144073"
"37070749","Modulation of the heartbeat evoked cortical potential by hypnotizability and hypnosis","Callara AL, Fontanelli L, Belcari I, Rho G, Greco A, Zelič Ž, Sebastiani L, Santarcangelo EL.","Psychophysiology. 2023 Sep;60(9):e14309. doi: 10.1111/psyp.14309. Epub 2023 Apr 18.","Callara AL","Psychophysiology","2023","2023/04/18","","","10.1111/psyp.14309"
"36927872","Heartbeat-Evoked Potential in Major Depressive Disorder: A Biomarker for Differential Treatment Prediction between Venlafaxine and rTMS?","Zwienenberg L, van Dijk H, Enriquez-Geppert S, van der Vinne N, Gevirtz R, Gordon E, Sack AT, Arns M.","Neuropsychobiology. 2023;82(3):158-167. doi: 10.1159/000529308. Epub 2023 Mar 16.","Zwienenberg L","Neuropsychobiology","2023","2023/03/17","","","10.1159/000529308"
"36910259","Complexity analysis of heartbeat-related signals in brain MRI time series as a potential biomarker for ageing and cognitive performance","López Pérez D, Bokde ALW, Kerskens CM.","Eur Phys J Spec Top. 2023;232(1):123-133. doi: 10.1140/epjs/s11734-022-00696-2. Epub 2022 Oct 21.","López Pérez D","Eur Phys J Spec Top","2023","2023/03/13","PMC9988766","","10.1140/epjs/s11734-022-00696-2"
"36841904","Autonomous sensory meridian response is associated with a larger heartbeat-evoked potential amplitude without differences in interoceptive awareness","Villena-Gonzalez M, Rojas-Thomas F, Morales-Torres R, López V.","Psychophysiology. 2023 Jun;60(6):e14277. doi: 10.1111/psyp.14277. Epub 2023 Feb 25.","Villena-Gonzalez M","Psychophysiology","2023","2023/02/25","","","10.1111/psyp.14277"
"36720392","Heart and brain traumatic stress biomarker analysis with and without machine learning: A scoping review","Rountree-Harrison D, Berkovsky S, Kangas M.","Int J Psychophysiol. 2023 Mar;185:27-49. doi: 10.1016/j.ijpsycho.2023.01.009. Epub 2023 Jan 30.","Rountree-Harrison D","Int J Psychophysiol","2023","2023/01/31","","","10.1016/j.ijpsycho.2023.01.009"
"36685762","Brain-heart interactions in the neurobiology of consciousness","Candia-Rivera D.","Curr Res Neurobiol. 2022 Aug 6;3:100050. doi: 10.1016/j.crneur.2022.100050. eCollection 2022.","Candia-Rivera D","Curr Res Neurobiol","2022","2023/01/23","PMC9846460","","10.1016/j.crneur.2022.100050"
"36610678","Whose emotion is it? Perspective matters to understand brain-body interactions in emotions","Engelen T, Buot A, Grèzes J, Tallon-Baudry C.","Neuroimage. 2023 Mar;268:119867. doi: 10.1016/j.neuroimage.2023.119867. Epub 2023 Jan 5.","Engelen T","Neuroimage","2023","2023/01/07","PMC9926012","","10.1016/j.neuroimage.2023.119867"
"36535320","Dual interaction between heartbeat-evoked responses and stimuli","Zhang Y, Zhang J, Xie M, Ding N, Zhang Y, Qin P.","Neuroimage. 2023 Feb 1;266:119817. doi: 10.1016/j.neuroimage.2022.119817. Epub 2022 Dec 16.","Zhang Y","Neuroimage","2023","2022/12/19","","","10.1016/j.neuroimage.2022.119817"
"36450811","Confounding effects of heart rate, breathing rate, and frontal fNIRS on interoception","Candia-Rivera D, Sappia MS, Horschig JM, Colier WNJM, Valenza G.","Sci Rep. 2022 Nov 30;12(1):20701. doi: 10.1038/s41598-022-25119-z.","Candia-Rivera D","Sci Rep","2022","2022/11/30","PMC9712694","","10.1038/s41598-022-25119-z"
"36265997","Attenuation of the Heartbeat-Evoked Potential in Patients With Atrial Fibrillation","Kumral D, Al E, Cesnaite E, Kornej J, Sander C, Hensch T, Zeynalova S, Tautenhahn S, Hagendorf A, Laufs U, Wachter R, Nikulin V, Villringer A.","JACC Clin Electrophysiol. 2022 Oct;8(10):1219-1230. doi: 10.1016/j.jacep.2022.06.019. Epub 2022 Aug 31.","Kumral D","JACC Clin Electrophysiol","2022","2022/10/20","","","10.1016/j.jacep.2022.06.019"
"36161147","Effects of 24-h acute total sleep deprivation on physiological coupling in healthy young adults","Liu H, Yu X, Wang G, Han Y, Wang W.","Front Neurosci. 2022 Sep 8;16:952329. doi: 10.3389/fnins.2022.952329. eCollection 2022.","Liu H","Front Neurosci","2022","2022/09/26","PMC9493191","","10.3389/fnins.2022.952329"
"36152562","Response to the Commentary on the paper ""The heartbeat evoked potential is a questionable biomarker in nightmare disorder: A replication study. By Bogdany, T., Perakakis, P., Bodizs, R., Simor, P., 2021. NeuroImage Clin. 33, 102933""","","Neuroimage Clin. 2022;36:103197. doi: 10.1016/j.nicl.2022.103197. Epub 2022 Sep 21.","","Neuroimage Clin","2022","2022/09/24","PMC9508493","","10.1016/j.nicl.2022.103197"
"36137497","Commentary on the paper ""The heartbeat evoked potential is a questionable biomarker in nightmare disorder: A replication study. By Bogdany, T., Perakakis, P., Bodizs, R., Simor, P., 2021. Neuroimage Clin 33, 102933""","Perogamvros L, Park HD, Schwartz S.","Neuroimage Clin. 2022;36:103196. doi: 10.1016/j.nicl.2022.103196. Epub 2022 Sep 19.","Perogamvros L","Neuroimage Clin","2022","2022/09/22","PMC9493136","","10.1016/j.nicl.2022.103196"
"36034270","Dynamic coupling between the central and autonomic cardiac nervous systems in patients with refractory epilepsy: A pilot study","Melo E, Fiel J, Milhomens R, Ribeiro T, Navegantes R, Gomes F, Duarte Gomes B, Pereira A.","Front Neurol. 2022 Aug 10;13:904052. doi: 10.3389/fneur.2022.904052. eCollection 2022.","Melo E","Front Neurol","2022","2022/08/29","PMC9400810","","10.3389/fneur.2022.904052"
"35964864","Brain-heart interactions are modulated across the respiratory cycle via interoceptive attention","Zaccaro A, Perrucci MG, Parrotta E, Costantini M, Ferri F.","Neuroimage. 2022 Nov 15;262:119548. doi: 10.1016/j.neuroimage.2022.119548. Epub 2022 Aug 11.","Zaccaro A","Neuroimage","2022","2022/08/14","","","10.1016/j.neuroimage.2022.119548"
"35572002","Brain-Heart Interaction and the Experience of Flow While Playing a Video Game","Khoshnoud S, Alvarez Igarzábal F, Wittmann M.","Front Hum Neurosci. 2022 Apr 28;16:819834. doi: 10.3389/fnhum.2022.819834. eCollection 2022.","Khoshnoud S","Front Hum Neurosci","2022","2022/05/16","PMC9096496","","10.3389/fnhum.2022.819834"
"35491275","Allostatic-Interoceptive Overload in Frontotemporal Dementia","Birba A, Santamaría-García H, Prado P, Cruzat J, Ballesteros AS, Legaz A, Fittipaldi S, Duran-Aniotz C, Slachevsky A, Santibañez R, Sigman M, García AM, Whelan R, Moguilner S, Ibáñez A.","Biol Psychiatry. 2022 Jul 1;92(1):54-67. doi: 10.1016/j.biopsych.2022.02.955. Epub 2022 Feb 24.","Birba A","Biol Psychiatry","2022","2022/05/01","PMC11184918","NIHMS1998262","10.1016/j.biopsych.2022.02.955"
