"column","run_checks","included","allow_empty","allow_none","allow_unknown","allow_brackets","data_type","checks","allowed_values"
"value",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"character","should be one of the codebook options","Amplitude, Peak-to-peak amplitude, Global Field Power, Latency, Variance, AUC, Topography, Lempel-Ziv complexity, Segregation-Integration Index, Wavelet entropy, Stability, Source Current Distribution"
"averaging_channels",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","",""
"averaging_time",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","",""
"hypothesis",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"character","should be one of the codebook options","Group/Condition Differences, Correlation"
"statistics",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"character","should be a list of codebook options","Correlation, ANOVA, Regression, t-test, F-test, Non-parametric comparison, Classification"
"clustering",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","should be filled for significant clusters",""
"permutations",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"numeric","",""
"significant_test",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"numeric","should be 0 or 1",""
"controls",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"character","should be a list of codebook options","ECG, Correlation HEP-ECG, Surrogate heartbeats, Permuted heartbeats, Control time window, HR, SDRR, SDNN, RR, RMSSD, rrHRV, PNN50, VLF, LF, HF, LF/HF, HFlog, HRV, IBI variability, Systolic volume, Stroke volume, Systolic blood pressure, Diastolic blood pressure, Depression, Age, Sex, Gender, BMI, Respiration, Hormones, Anxiety, Affective disorders, Menstrual Cycle Phase, I/E, Hypnotizability, Medication, Education, Handedness, Alpha power, VO2 at VAT, Total intracranial volume, Scanner type, Number of heartbeats, Attention to the task, QT interval, T-wave mean latency, T-wave mean latency variability, Illness duration, Hospitalization, Arousal, Daydreaming, Interoception, Pupil diameter, CAR, Cortisol, Tapping accuracy"
"significant_channels",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"character","should belong to the layout (significant), should be filled for significant clusters",""
"significant_relative_to",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"character","should be one of the codebook options, should be filled for significant clusters","R-peak, T-peak"
"significant_start_ms",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"numeric","should be filled for significant clusters",""
"significant_end_ms",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"numeric","should be filled for significant clusters",""
