"PMID","DOI","include","comment","title","authors","citation","year","preregistration","topic","patients","age_range","new_data","sample_size","setting","modality","meeg_num_electrodes","meg_num_grad","meg_num_mag","meeg_sfreq_orig","meeg_sfreq_final","meeg_layout","eeg_locations","length_min","ecg_num_electrodes","ecg_lead","ecg_locations","ecg_ground","ecg_sfreq_orig","ecg_sfreq_final","ecg_high_pass","ecg_low_pass","ecg_event_approach","ecg_event_method","ecg_event_toolbox","reference_online","reference_offline","high_pass","low_pass","ICA","ica_on_epochs","rejected_components","rejected_cardiac_ics","cfa_rej_approach","cfa_rej_criteria","other_cfa_removal_strategy","other_cleaning_strategy","hep_eeg_channels_selected","hep_meg_channels_selected","groups","conditions","trials","hep_window_type","hep_relative_to","hep_start","hep_end","baseline_start_ms","baseline_end_ms","hypothesis","value","averaging_channels","averaging_time","statistics","clustering","permutations","significant_test","significant_eeg_channels","significant_relative_to","significant_start_ms","significant_end_ms","controls","trial_estimation"
39035777,"10.3389/fnins.2024.1391437",,"","Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.","Front Neurosci. 2024 Jul 5;18:1391437. doi: 10.3389/fnins.2024.1391437. eCollection 2024.",2024,1,"Patients/Neurological/Epilepsy, Manipulation/Respiration/Voluntary hyperventilation",1,"30.8+-7.79, 70.2+-4.17",1,76,1,"EEG",23,"na","na","200","unknown","standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10","3","3","Multiple leads","Right wrist, Left wrist, Left leg","3-lead","200","unknown","3","30","Semi-automatic","deCarvalho2002","HEPLAB","[C3 and C4]","Common average","0.16","30",1,0,"Eye movements, Blinks, Muscle","","","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","C3, P3, O1, T3, T5, Pz, T9","na",2,1,"192","Secondary","R-peak","290","360","none","none","Group/Condition Differences","Amplitude",1,1,"t-test",0,"","1","","","","","",""
39035777,"10.3389/fnins.2024.1391437",,"","Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.","Front Neurosci. 2024 Jul 5;18:1391437. doi: 10.3389/fnins.2024.1391437. eCollection 2024.",2024,1,"Patients/Neurological/Epilepsy, Manipulation/Respiration/Voluntary hyperventilation",1,"30.8+-7.79, 70.2+-4.17",1,76,1,"EEG",23,"na","na","200","unknown","standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10","3","3","Multiple leads","Right wrist, Left wrist, Left leg","3-lead","200","unknown","3","30","Semi-automatic","deCarvalho2002","HEPLAB","[C3 and C4]","Common average","0.16","30",1,0,"Eye movements, Blinks, Muscle","","","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","All","na",2,1,"194","Primary","R-peak","200","650","none","none","Group/Condition Differences","Amplitude",0,0,"t-test",1,"1000","1","F4, C4, Cz, Pz","R-peak","560","585","HR, rrHRV, RMSSD, ECG",""
39035777,"10.3389/fnins.2024.1391437",,"","Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.","Front Neurosci. 2024 Jul 5;18:1391437. doi: 10.3389/fnins.2024.1391437. eCollection 2024.",2024,1,"Patients/Neurological/Epilepsy, Manipulation/Respiration/Voluntary hyperventilation",1,"30.8+-7.79, 70.2+-4.17",1,76,1,"EEG",23,"na","na","200","unknown","standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10","3","3","Multiple leads","Right wrist, Left wrist, Left leg","3-lead","200","unknown","3","30","Semi-automatic","deCarvalho2002","HEPLAB","[C3 and C4]","Common average","0.16","30",1,0,"Eye movements, Blinks, Muscle","","","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","F4, C4, Cz, Pz","na",2,1,"194","Secondary","R-peak","560","585","none","none","Group/Condition Differences","Amplitude",1,1,"t-test",0,"","1","","","","","",""
39035154,"10.7717/peerj.17754",0,"Not Related to HER","Exploring the technological dimension of Autonomous sensory meridian response-induced physiological responses","Seifzadeh S, Kostek B.","PeerJ. 2024 Jul 18;12:e17754. doi: 10.7717/peerj.17754. eCollection 2024.",2024,,"",,"",,,,"",,"","","","","","","","","","","","","","","","","","","","","","",,,"","","","","","","","",,,"","","","","","","","","",,,"",,"","","","","","","",""
38925291,"10.1016/j.resuscitation.2024.110294",0,"Not Related to HER","Heart rate variability for neuro-prognostication after CA: Insight from the Parisian registry","Benghanem S, Sharshar T, Gavaret M, Dumas F, Diehl JL, Brechot N, Picard F, Candia-Rivera D, Le MP, Pène F, Cariou A, Hermann B.","Resuscitation. 2024 Jun 24:110294. doi: 10.1016/j.resuscitation.2024.110294. Online ahead of print.",2024,,"",,"",,,,"",,"","","","","","","","","","","","","","","","","","","","","","",,,"","","","","","","","",,,"","","","","","","","","",,,"",,"","","","","","","",""
38860229,"10.1136/bmjno-2024-000665",1,"Consider","Heartbeat evoked potentials and autonomic arousal during dissociative seizures: insights from electrophysiology and neuroimaging","Flasbeck V, Jungilligens J, Lemke I, Beckers J, Öztürk H, Wellmer J, Seliger C, Juckel G, Popkirov S.","BMJ Neurol Open. 2024 Jun 5;6(1):e000665. doi: 10.1136/bmjno-2024-000665. eCollection 2024.",2024,0,"Patients/Neurological/Functional (dissociative) seizures, Affective processes/Arousal",1,"17-66",1,24,0,"EEG",19,"na","na","unknown","256","standard19","Fp1, Fpz, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, Oz, O2","2","2","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","PanTompkins1985","Kubios","unknown","Linked earlobes","0.1","35",1,0,"Eye movements","","","","","Noisy epochs","F7, F8, Fz, F3, F4, Fp1, Fp2, Fpz, C3, C4, Cz","na",1,2,"176+-47","Primary","R-peak","250","455","-125","-25","Group/Condition Differences","Amplitude",0,1,"ANOVA",0,"","1","","","","","ECG",""
38860229,"10.1136/bmjno-2024-000665",,"","Heartbeat evoked potentials and autonomic arousal during dissociative seizures: insights from electrophysiology and neuroimaging","Flasbeck V, Jungilligens J, Lemke I, Beckers J, Öztürk H, Wellmer J, Seliger C, Juckel G, Popkirov S.","BMJ Neurol Open. 2024 Jun 5;6(1):e000665. doi: 10.1136/bmjno-2024-000665. eCollection 2024.",2024,0,"Patients/Neurological/Functional (dissociative) seizures, Affective processes/Arousal",1,"17-66",1,24,0,"EEG",19,"na","na","unknown","256","standard19","Fp1, Fpz, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, Oz, O2","2","2","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","PanTompkins1985","Kubios","unknown","Linked earlobes","0.1","35",1,0,"Eye movements","","","","","Noisy epochs","F7, F8, Fz, F3, F4, Fp1, Fp2, Fpz, C3, C4, Cz","na",1,2,"176+-47","Primary","R-peak","455","595","-125","-25","Group/Condition Differences","Amplitude",0,1,"ANOVA",0,"","0","","","","","ECG",""
38860229,"10.1136/bmjno-2024-000665",,"","Heartbeat evoked potentials and autonomic arousal during dissociative seizures: insights from electrophysiology and neuroimaging","Flasbeck V, Jungilligens J, Lemke I, Beckers J, Öztürk H, Wellmer J, Seliger C, Juckel G, Popkirov S.","BMJ Neurol Open. 2024 Jun 5;6(1):e000665. doi: 10.1136/bmjno-2024-000665. eCollection 2024.",2024,0,"Patients/Neurological/Functional (dissociative) seizures, Affective processes/Arousal",1,"17-66",1,23,1,"EEG",19,"na","na","unknown","256","standard19","Fp1, Fpz, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, Oz, O2","2","2","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","PanTompkins1985","Kubios","unknown","Linked earlobes","0.1","35",1,0,"Eye movements","","","","","Noisy epochs","F7, F8, Fz","na",1,1,"176+-47","Primary","R-peak","250","455","-125","-25","Correlation","Amplitude",0,1,"Correlation",0,"","1","","","","","ECG",""
38860229,"10.1136/bmjno-2024-000665",,"","Heartbeat evoked potentials and autonomic arousal during dissociative seizures: insights from electrophysiology and neuroimaging","Flasbeck V, Jungilligens J, Lemke I, Beckers J, Öztürk H, Wellmer J, Seliger C, Juckel G, Popkirov S.","BMJ Neurol Open. 2024 Jun 5;6(1):e000665. doi: 10.1136/bmjno-2024-000665. eCollection 2024.",2024,0,"Patients/Neurological/Functional (dissociative) seizures, Affective processes/Arousal",1,"18-66",1,16,1,"EEG",19,"na","na","unknown","256","standard19","Fp1, Fpz, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, Oz, O2","2","2","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","PanTompkins1985","Kubios","unknown","Linked earlobes","0.1","35",1,0,"Eye movements","","","","","Noisy epochs","F7, F8, Fz","na",1,1,"176+-47","Primary","R-peak","250","455","-125","-25","Correlation","Amplitude",0,1,"Correlation",0,"unknown","1","","","","","Age, sex, total intracranial volume, scanner type",""
38839034,"10.1016/j.bpsc.2024.05.004",1,"Consider","Intranasal Oxytocin Improves Interoceptive Accuracy and Heartbeat-Evoked Potentials During a Cardiac Interoceptive Task","Zhou M, Cheng L, Zhou Y, Zhu S, Zhang Y, Kendrick KM, Yao S.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2024 Jun 3:S2451-9022(24)00137-X. doi: 10.1016/j.bpsc.2024.05.004. Online ahead of print.",2024,0,"Manipulation/Medication/Oxytocin, Perception/Interoception/Cardiac",0,"20.65+-1.77",1,72,0,"EEG",64,"na","na","500","250","standard61","layout","3","2","Lead II","Left leg, Right wrist","unknown","1000","unknown","0.5","35","Semi-automatic","unknown","AcqKnowledge","Cz","Common average","0.1","40",1,0,"Eye movements, Muscle, CFA","","unknown","unknown","","Noisy epochs","FC1, FCz, FC2, FC4, C1, Cz, C2, C4","na",2,1,"[est160]","Primary","R-peak","480","600","unknown","unknown","Group/Condition Differences","Amplitude",1,1,"t-test",0,"","1","","","","","HR, HRV","est number of trials = min of recording * (1-average proportion of trials removed during cleaning)*60 bpm"
38839034,"10.1016/j.bpsc.2024.05.004",,"","Intranasal Oxytocin Improves Interoceptive Accuracy and Heartbeat-Evoked Potentials During a Cardiac Interoceptive Task","Zhou M, Cheng L, Zhou Y, Zhu S, Zhang Y, Kendrick KM, Yao S.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2024 Jun 3:S2451-9022(24)00137-X. doi: 10.1016/j.bpsc.2024.05.004. Online ahead of print.",2024,0,"Manipulation/Medication/Oxytocin, Perception/Interoception/Cardiac",0,"20.65+-1.77",1,35,0,"EEG",64,"na","na","500","250","standard61","layout","3","2","Lead II","Left leg, Right wrist","unknown","1000","unknown","0.5","35","Semi-automatic","unknown","AcqKnowledge","Cz","Common average","0.1","40",1,0,"Eye movements, Muscle, CFA","","unknown","unknown","","Noisy epochs","FC1, FCz, FC2, FC4, C1, Cz, C2, C4","na",1,1,"[est160]","Primary","R-peak","480","600","unknown","unknown","Correlation","Amplitude",1,1,"Correlation",0,"","0","","","","","HR, HRV","est number of trials = min of recording * (1-average proportion of trials removed during cleaning)*60 bpm"
38839034,"10.1016/j.bpsc.2024.05.004",,"","Intranasal Oxytocin Improves Interoceptive Accuracy and Heartbeat-Evoked Potentials During a Cardiac Interoceptive Task","Zhou M, Cheng L, Zhou Y, Zhu S, Zhang Y, Kendrick KM, Yao S.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2024 Jun 3:S2451-9022(24)00137-X. doi: 10.1016/j.bpsc.2024.05.004. Online ahead of print.",2024,0,"Manipulation/Medication/Oxytocin, Perception/Interoception/Cardiac",0,"20.65+-1.77",1,72,0,"EEG",64,"na","na","500","250","standard61","layout","4","2","Lead II","Left leg, Right wrist","unknown","1000","unknown","0.5","35","Semi-automatic","unknown","AcqKnowledge","Cz","Common average","0.1","40",1,0,"Eye movements, Muscle, CFA","","unknown","unknown","","Noisy epochs","FC1, FCz, FC2, FC4, C1, Cz, C2, C4","na",2,1,"[est213]","Primary","R-peak","480","600","unknown","unknown","Group/Condition Differences","Amplitude",1,1,"t-test",0,"","0","","","","","HR, HRV","est number of trials = min of recording * (1-average proportion of trials removed during cleaning)*60 bpm"
38811512,"10.1007/s12028-024-02005-2",1,"Consider","Resting-State EEG Signature of Early Consciousness Recovery in Comatose Patients with Traumatic Brain Injury","Alkhachroum A, Fló E, Manolovitz B, Cohan H, Shammassian B, Bass D, Aklepi G, Monexe E, Ghamasaee P, Sobczak E, Samano D, Saavedra AB, Massad N, Kottapally M, Merenda A, Cordeiro JG, Jagid J, Kanner AM, Rundek T, O'Phelan K, Claassen J, Sitt JD.","Neurocrit Care. 2024 May 29. doi: 10.1007/s12028-024-02005-2. Online ahead of print.",2024,0,"Patients/Disorders of consciousness/Coma, Patients/Neurological/Brain injury/Traumatic brain injury",1,"40.4+-17.9, 50.1+-20.4",1,100,1,"EEG",19,"na","na","256","256","standard19","layout","10","unknown","Unclassified","unknown","unknown","unknown","unknown","0.5","unknown","Semi-automatic","Brammer2020","Neurokit2","Cz","Common average","0.5","40",0,,"","","","","","Manual removal of artifacts","Cz","na",2,1,"695+-160","Primary","R-peak","0","600","unknown","unknown","Group/Condition Differences","Amplitude",0,0,"t-test",1,"unknown","0","","","","","",""
38811512,"10.1007/s12028-024-02005-2",,"","Resting-State EEG Signature of Early Consciousness Recovery in Comatose Patients with Traumatic Brain Injury","Alkhachroum A, Fló E, Manolovitz B, Cohan H, Shammassian B, Bass D, Aklepi G, Monexe E, Ghamasaee P, Sobczak E, Samano D, Saavedra AB, Massad N, Kottapally M, Merenda A, Cordeiro JG, Jagid J, Kanner AM, Rundek T, O'Phelan K, Claassen J, Sitt JD.","Neurocrit Care. 2024 May 29. doi: 10.1007/s12028-024-02005-2. Online ahead of print.",2024,0,"Patients/Disorders of consciousness/Coma, Patients/Neurological/Brain injury/Traumatic brain injury",1,"40.4+-17.9, 50.1+-20.4",1,100,1,"EEG",19,"na","na","256","256","standard19","layout","10","unknown","Unclassified","unknown","unknown","unknown","unknown","0.5","unknown","Semi-automatic","Brammer2020","Neurokit2","Cz","Common average","0.5","40",0,,"","","","","","Manual removal of artifacts","Cz","na",2,1,"695+-160","Secondary","R-peak","600","800","unknown","unknown","Group/Condition Differences","Amplitude",0,0,"t-test",1,"unknown","0","","","","","",""
